AÑO_EVAL;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;MRUN;CLAVE;DOC_GENERO;NIVEL;SUBSECT;AE_PJE;EP_PJE;IRT_PJE;PF_PJE;PF_ESC;INSTR_PJE;CCE_ESC
2018;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;11446464;AB1079758711;1;7;GASTR;4;3;3;2,23;B;2,64;C
2018;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;13462227;BB1044006211;1;6;EAEMM;4;3;4;2,4;B;2,84;C
2018;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;20874422;CA1040330521;2;4;L;4;3;3;2,58;C;2,85;D
2018;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;23212113;CB1103312711;1;7;CONST_MET;4;3;2;2,52;C;2,71;C
2018;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;396505;CE1685868311;1;4;H;4;2;3;1,8;I;2,18;B
2018;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;11297873;QR1326313711;1;6;EAEMI;3;2;3;1,8;I;2,08;B
2018;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;151;ARICA;2;1;0;9605059;JI1899045021;2;1;P;4;3;4;2,25;B;2,75;C
2018;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;151;ARICA;2;1;0;9617801;ML1353974721;2;1;P;3;3;4;2,05;B;2,53;C
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;17666027;BB1088508921;2;4;AV;4;3;3;2,2;B;2,62;C
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;15814500;CA1050803521;2;4;H;4;3;3;2,2;B;2,62;C
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;19400155;CB1010286021;2;4;M;4;3;3;2,2;B;2,62;C
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;24744595;CC1025570021;2;4;I;4;4;3;2,69;C;3,11;D
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;16174726;ED1075430811;1;4;AM;4;2;3;1,65;I;2,09;C
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;20862350;GF1378672611;1;4;I;4;3;3;2,3;B;2,68;C
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;7686156;OO1859775211;1;4;B;3;3;3;2,13;B;2,48;B
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;16881211;SS8228837415;1;4;H;4;3;3;2,25;B;2,65;C
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;918713;TU4785457321;2;4;H;4;3;3;2,23;B;2,64;C
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;18191054;US3784010611;1;4;F;4;3;2;1,73;I;2,24;B
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;21998080;BB1019123311;1;6;EAEMM;4;3;3;2,85;C;3,01;D
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;18813939;BB1021997711;1;4;M;4;2;3;2,05;B;2,33;B
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;15105590;CA1000520211;1;6;EAEMM;4;3;3;2,6;C;2,86;D
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;4497648;CA1015036311;1;3;M;4;3;4;2,43;B;2,86;C
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;10188477;CB1005213221;2;2;G;4;3;4;2,35;B;2,81;C
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;5273034;CC1070317211;1;4;EF;4;3;3;2,35;B;2,71;D
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;9711667;CC1091518011;1;3;CS;4;3;3;2,53;C;2,82;C
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;10415304;CE1833980522;2;5;DEA;4;3;4;2,25;B;2,75;C
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;9982839;ED1514771422;2;5;DEA;4;4;4;2,55;C;3,13;D
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;10572154;FG1757861321;2;5;DEA;3;2;3;2,6;C;2,56;D
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;1034222;LL1249336711;1;6;EAEMCN;3;1;1;1;I;1,2;I
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;5498984;OQ1928381821;2;3;L;4;3;4;2,6;C;2,96;D
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;14489810;TS5510673321;2;4;H;4;3;3;2,3;B;2,68;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;5400760;AA1090862421;2;4;H;4;3;3;2,3;B;2,68;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;11311190;BA1105212111;1;7;GASTR;4;2;3;2,21;B;2,43;B
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;636806;BB1005467221;2;4;L;4;3;3;2,65;C;2,89;D
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;24939167;BB1081422721;2;4;EF;4;3;3;2,49;B;2,79;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;2111436;CA1019376421;2;5;DEA;4;2;3;2,55;C;2,63;D
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;6834645;CA1072131711;1;4;H;4;3;3;2,35;B;2,71;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;23974794;ED1484654221;2;4;I;4;3;3;2,3;B;2,68;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;11209330;KJ1344784721;2;5;DEA;4;3;3;2,35;B;2,71;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;2545448;KK1861493311;1;4;M;4;3;4;2,3;B;2,78;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;11809656;LK1823031921;2;4;M;4;3;3;2,75;C;2,95;D
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;23857270;MO1741713021;2;7;ADMIN;4;3;3;2,14;B;2,58;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;12985350;PO1209702821;2;5;DEA;4;3;2;2,3;B;2,58;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;5773427;QR1166293321;2;4;M;4;3;3;2,55;C;2,83;D
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;9260787;QR1387788421;2;4;I;4;3;4;2,05;B;2,63;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;15026560;ST3664397321;2;4;L;4;3;3;2,43;B;2,76;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;11028182;ST4540714621;2;7;S_TURISM;4;3;3;2,23;B;2,64;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;5752697;TU5721568321;2;4;M;4;3;3;2,38;B;2,73;C
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;1171676;WU8002439421;2;7;GASTR;4;3;3;2,29;B;2,67;C
2018;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;151;ARICA;2;1;0;8378039;BC1039997521;2;2;G;4;3;4;2,25;B;2,75;C
2018;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;151;ARICA;2;1;0;20664120;DE1088628721;2;4;ET;4;2;2;2,55;C;2,53;D
2018;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;151;ARICA;2;1;0;10298991;ED1069649413;1;3;M;4;4;4;2,7;C;3,22;D
2018;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;151;ARICA;2;1;0;24598323;IJ1043074521;2;3;L;4;3;4;2,7;C;3,02;D
2018;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;151;ARICA;2;1;0;18037234;KK1795159121;2;4;Q;4;3;2;2,18;B;2,51;C
2018;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;151;ARICA;2;1;0;2646143;RQ1921432021;2;5;DEA;4;2;2;1,55;I;1,93;B
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;11158429;BA1036888621;2;3;CN;4;4;3;2,35;B;2,91;D
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;3034076;BC1019154711;1;3;M;4;3;4;2,8;C;3,08;D
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;18226153;CA1058743221;2;2;G;4;3;3;2,35;B;2,71;C
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;21546110;CA1060535322;2;1;P;4;3;3;2,3;B;2,68;C
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;9573376;CC1928663821;2;2;G;4;3;3;2,49;B;2,79;C
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;5223600;DE1173817821;2;2;G;4;3;4;2,13;B;2,68;C
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;19566501;DE1733361215;1;3;EF;4;2;3;2,15;B;2,39;C
